species	image_url
Cirrhitichthys oxycephalus	https://inaturalist-open-data.s3.amazonaws.com/photos/345987354/original.jpeg
Scomberoides lysan	https://inaturalist-open-data.s3.amazonaws.com/photos/344318772/original.jpg
Amphidinium massartii	
Negaprion acutidens	https://inaturalist-open-data.s3.amazonaws.com/photos/345608696/original.jpg
Minutocellus polymorphus	
Tylosurus crocodilus	https://inaturalist-open-data.s3.amazonaws.com/photos/344323681/original.jpeg
Bothus pantherinus	https://inaturalist-open-data.s3.amazonaws.com/photos/344051023/original.jpg
Epinephelus spilotoceps	https://inaturalist-open-data.s3.amazonaws.com/photos/346817771/original.jpeg
Stethojulis bandanensis	https://inaturalist-open-data.s3.amazonaws.com/photos/345640241/original.jpeg
Lithodesmioides polymorpha	
Chrysiptera brownriggii	https://inaturalist-open-data.s3.amazonaws.com/photos/347854836/original.jpg
Psammocora nierstraszi	https://inaturalist-open-data.s3.amazonaws.com/photos/384170230/original.jpeg
Ophiocoma erinaceus	https://inaturalist-open-data.s3.amazonaws.com/photos/352358968/original.jpeg
Clausocalanus furcatus	https://data.nhm.ac.uk/media/e4a9a9c9-efc8-47b9-85ec-2a1ea98fe783
Lepidozygus tapeinosoma	https://inaturalist-open-data.s3.amazonaws.com/photos/368296361/original.jpg
Amphipholis squamata	https://inaturalist-open-data.s3.amazonaws.com/photos/344431707/original.jpeg
Acetabularia caliculus	https://inaturalist-open-data.s3.amazonaws.com/photos/349558517/original.jpeg
Chanos chanos	https://inaturalist-open-data.s3.amazonaws.com/photos/346960957/original.jpeg
Sula sula	https://inaturalist-open-data.s3.amazonaws.com/photos/344515136/original.jpeg
Uropterygius alboguttatus	http://www.boldsystems.org/pics/SCILL/USNM_435008_SCIL_119_243.3mmTL_SCIL_2014_07+1507753284.JPG
Heteropriacanthus cruentatus	https://inaturalist-open-data.s3.amazonaws.com/photos/346285665/original.jpg
Lethrinus genivittatus	https://inaturalist-open-data.s3.amazonaws.com/photos/345327796/original.jpg
Diagramma picta	
Breviturma brevipes	https://inaturalist-open-data.s3.amazonaws.com/photos/354688218/original.jpg
Zoanthus pulchellus	https://inaturalist-open-data.s3.amazonaws.com/photos/380495723/original.jpeg
Novaculichthys taeniourus	https://inaturalist-open-data.s3.amazonaws.com/photos/344181451/original.png
Eviota punctulata	https://inaturalist-open-data.s3.amazonaws.com/photos/261279417/original.jpg
Scolecenchelys gymnota	https://inaturalist-open-data.s3.amazonaws.com/photos/237832650/original.jpeg
Centropyge multispinis	https://inaturalist-open-data.s3.amazonaws.com/photos/345986724/original.jpeg
Pterocaesio tile	https://inaturalist-open-data.s3.amazonaws.com/photos/344302548/original.jpeg
Fibramia amboinensis	https://inaturalist-open-data.s3.amazonaws.com/photos/388102662/original.jpg
Naso elegans	https://inaturalist-open-data.s3.amazonaws.com/photos/345230303/original.jpeg
Phaeocystis pouchetii	
Thalassiosira punctigera	http://www.boldsystems.org/pics/DIAT/12080408+1102530480.jpg
Pateobatis hortlei	
Gymnothorax chilospilus	https://inaturalist-open-data.s3.amazonaws.com/photos/350810455/original.jpg
Scarus rubroviolaceus	https://inaturalist-open-data.s3.amazonaws.com/photos/344400646/original.jpg
Platybelone argala	
Lutjanus kasmira	https://inaturalist-open-data.s3.amazonaws.com/photos/343856866/original.jpeg
Apogon semiornatus	https://inaturalist-open-data.s3.amazonaws.com/photos/360402005/original.jpeg
Pateobatis fai	https://inaturalist-open-data.s3.amazonaws.com/photos/348254291/original.jpg
Lethrinus xanthochilus	https://inaturalist-open-data.s3.amazonaws.com/photos/345633009/original.jpeg
Callechelys marmorata	https://inaturalist-open-data.s3.amazonaws.com/photos/369714207/original.jpeg
Scarus psittacus	https://inaturalist-open-data.s3.amazonaws.com/photos/344400267/original.jpg
Synodus dermatogenys	https://inaturalist-open-data.s3.amazonaws.com/photos/347785644/original.jpg
Gymnothorax flavimarginatus	https://inaturalist-open-data.s3.amazonaws.com/photos/344253336/original.jpg
Torquigener hypselogeneion	https://inaturalist-open-data.s3.amazonaws.com/photos/393518158/original.jpeg
Lethrinus rubrioperculatus	https://inaturalist-open-data.s3.amazonaws.com/photos/354368578/original.jpeg
Mobula birostris	https://inaturalist-open-data.s3.amazonaws.com/photos/345182190/original.jpg
Acanthurus xanthopterus	https://inaturalist-open-data.s3.amazonaws.com/photos/344621214/original.jpg
Conger cinereus	https://inaturalist-open-data.s3.amazonaws.com/photos/350913353/original.jpg
Acanthurus leucosternon	https://inaturalist-open-data.s3.amazonaws.com/photos/344804930/original.jpeg
Sebastapistes mauritiana	https://inaturalist-open-data.s3.amazonaws.com/photos/231847865/original.jpeg
Cyclothone pallida	https://iiif.mcz.harvard.edu/iiif/3/9391/full/max/0/default.jpg
Lutjanus bohar	https://inaturalist-open-data.s3.amazonaws.com/photos/345629036/original.jpeg
Zanclus cornutus	https://inaturalist-open-data.s3.amazonaws.com/photos/343987878/original.png
Hyporhamphus yuri	
Lutjanus fulvus	https://inaturalist-open-data.s3.amazonaws.com/photos/344010044/original.jpeg
Pseudanthias bicolor	https://data.nhm.ac.uk/media/bfd31a2b-a70d-44af-8837-538543bc36ec
Halamphora americana	
Callyspongia plicifera	https://inaturalist-open-data.s3.amazonaws.com/photos/344853260/original.jpg
Holothuria atra	https://inaturalist-open-data.s3.amazonaws.com/photos/343790879/original.jpeg
