"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
10;"Viruses";NA;NA;NA;NA;NA
123245;"Animalia";"Echinodermata";"Asteroidea";"Paxillosida";"Astropectinidae";"Astropecten"
104476;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Candaciidae";"Candacia"
375868;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Rhodomelaceae";"Neosiphonia"
148994;"Chromista";"Heterokontophyta";"Bacillariophyceae";"Thalassiosirales";"Stephanodiscaceae";NA
287325;"Animalia";"Cnidaria";"Hydrozoa";"Leptothecata";"Halopterididae";"Halopteris"
280387;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Haemulidae";"Conodon"
531190;"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Polyceridae";"Tambja"
139185;"Animalia";"Mollusca";"Gastropoda";"Pteropoda";"Cliopsidae";"Cliopsis"
146346;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Rhodomelaceae";"Neosiphonia"
280146;"Animalia";"Chordata";"Teleostei";"Ophidiiformes";"Ophidiidae";"Chilara"
292851;"Animalia";"Echinodermata";"Asteroidea";"Paxillosida";"Astropectinidae";"Astropecten"
159304;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Sciaenidae";"Cynoscion"
273283;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Selene"
158712;"Animalia";"Chordata";"Teleostei";"Siluriformes";"Ariidae";"Bagre"
281495;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Labrisomidae";"Malacoctenus"
273065;"Animalia";"Chordata";"Teleostei";"Kurtiformes";"Apogonidae";"Apogon"
205014;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Xanthidae";"Liomera"
209046;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Xanthidae";"Paractaea"
330041;"Animalia";"Annelida";"Polychaeta";"Amphinomida";"Amphinomidae";"Notopygos"
278234;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Blenniidae";"Plagiotremus"
442089;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Mithracidae";"Ala"
584944;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Penaeidae";"Penaeus"
266888;"Animalia";"Chaetognatha";"Sagittoidea";"Aphragmophora";"Sagittidae";"Zonosagitta"
160575;"Plantae";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";NA
